region,ISO,month 1  death rate,month 8  death rate,month 9  death rate,month 10  death rate,month 11  death rate,month 12  death rate,death rate 6mo agg
ABW,ABW,-0.2023131484617627,-0.595056232935036,-0.06536422015161678,-0.1114128695901737,-0.1362374853964268,-0.15406786802965322,-1.2644518245646692
AFG.1.12,AFG,-0.24243461015260306,-1.2758926131205106,-0.000876564666904214,-0.7858477526672243,-0.06364653207126263,-0.09556882659500589,-2.4642668992735106
AFG.1.R8abddb145b8788ee,AFG,-0.03797572323513122,-0.5174305111329449,0.048733210219448694,-0.24861198254430858,0.10089567125269745,-0.10515876550534163,-0.7595481009455802
AFG.1.R91a8634efe8e02a7,AFG,-0.046359055033196046,-1.1647627615872687,-0.32491536170154595,-0.5994864914621898,-0.18064310986085724,-0.27242626427264777,-2.5885930439177054
AFG.1.Ra6a2bba0a271cb4a,AFG,-0.0841041555269081,-0.3347738855649526,-0.2429054554188624,-0.9906912551926632,-0.27221345313859135,-0.42738515992050036,-2.3520733647624783
AFG.1.Rcf29900a4c191e96,AFG,-0.03132807663188854,-0.7149055785247702,0.00013570937538182659,-0.07655998736092792,0.10330829672623575,-0.08792442012106354,-0.8072740565370325
AFG.1.Rd0d6327d56611fba,AFG,-0.041380488020429394,-0.25643788624360686,0.10887099591209684,-0.7042083082678883,-0.050477128252226285,-0.20903482012179375,-1.1526676349938478
AFG.10.103,AFG,-1.2665634927827067,-4.244065246453493,0.9648361167546781,-0.8390983460048327,-2.4330376100150266,-1.698393525690219,-9.5163221041916
AFG.10.106,AFG,-1.0756428868556949,-4.0762335841077855,0.4788576623976555,-0.9823258567779898,-2.259411065973654,-1.6421996795980311,-9.556955410915501
AFG.10.109,AFG,-1.1331942609948629,-2.9568814538997787,0.5205112815011882,-0.8666397762704137,-1.951963381939685,-1.3435091595959294,-7.731676751199482
AFG.10.98,AFG,-1.4656045483264253,-6.828573802107481,1.4940371792015181,0.1411280076185666,-2.5306370487890324,-2.055215431274694,-11.24486564367755
AFG.10.R01090b16282376f5,AFG,-1.367941113831348,-5.5207284345467365,0.9069917898639218,-0.4369331911133042,-2.457024226425712,-1.8368418461216143,-10.712477022174795
